Add-Content,ac
Add-PSSnapIn,asnp
Clear-Content,clc
Clear-History,clhy
Clear-Host,cls
Clear-Item,cli
Clear-ItemProperty,clp
Clear-Variable,clv
Compare-Object,compare
Connect-PSSession,cnsn
Convert-Path,cvpa
Copy-Item,cpi
Copy-ItemProperty,cpp
Disable-PSBreakpoint,dbp
Disconnect-PSSession,dnsn
Enable-PSBreakpoint,ebp
Enter-PSSession,etsn
Exit-PSSession,exsn
Export-Alias,epal
Export-Csv,epcsv
Export-PSSession,epsn
ForEach-Object,foreach
Format-Custom,fc
Format-List,fl
Format-Table,ft
Format-Wide,fw
Get-Alias,gal
Get-ChildItem,gci
Get-Command,gcm
Get-Content,gc
Get-History,ghy
Get-Item,gi
Get-ItemProperty,gp
Get-Job,gjb
Get-Location,gl
Get-Member,gm
Get-Module,gmo
Get-Process,gps
Get-PSBreakpoint,gbp
Get-PSCallStack,gcs
Get-PSDrive,gdr
Get-PSSession,gsn
Get-PSSnapIn,gsnp
Get-Service,gsv
Get-Unique,gu
Get-Variable,gv
Get-WmiObject,gwmi
Group-Object,group
help,man
Import-Alias,ipal
Import-Csv,ipcsv
Import-Module,ipmo
Invoke-Command,icm
Invoke-Expression,iex
Invoke-History,ihy
Invoke-Item,ii
Invoke-RestMethod,irm
Invoke-WebRequest,iwr
Invoke-WMIMethod,iwmi
Measure-Object,measure
mkdir,md
Move-Item,mi
Move-ItemProperty,mp
New-Alias,nal
New-Item,ni
New-Module,nmo
New-PSDrive,ndr
New-PSSession,nsn
New-PSSessionConfigurationFile,npssc
New-Variable,nv
Out-GridView,ogv
Out-Host,oh
Out-Printer,lp
Pop-Location,popd
powershell_ise.exe,ise
Push-Location,pushd
Receive-Job,rjb
Receive-PSSession,rcsn
Remove-Item,ri
Remove-ItemProperty,rp
Remove-Job,rjb
Remove-Module,rmo
Remove-PSBreakpoint,rbp
Remove-PSDrive,rdr
Remove-PSSession,rsn
Remove-PSSnapin,rsnp
Remove-Variable,rv
Remove-WMIObject,rwmi
Rename-Item,rni
Rename-ItemProperty,rnp
Resolve-Path,rvpa
Resume-Job,rujb
Select-Object,select
Set-Alias,sal
Set-Content,sc
Set-Item,si
Set-Location,sl
Set-PSBreakpoint,sbp
Set-Variable,sv
Set-WmiInstance,swmi
Show-Command,shcm
Start-Job,sajb
Start-Process,saps
Start-Service,sasv
Stop-Process,spps
Where-Object,?
Wait-Job,wjb
Write-Output,echo
